Well,Component,Concentration[mM],Volume [uL]
A1,MOPS,2000.0,1490.0
B1,Tricine,400.0,770.0
C1,H3BO3,2.4,314.0
D1,Glucose,3000.0,530.0
A2,K2SO4,43.5,1939.0
B2,K2HPO4,396.0,295.0
C2,FeSO4,6.0,272.0
D2,NH4Cl,1904.0001,444.0
A3,MgCl2,15.6,4147.0
B3,NaCl,1500.0,5499.0
C3,(NH4)6Mo7O24,0.018,322.0
D3,CoCl2,0.18,335.0
A4,CuSO4,0.06,332.0
B4,MnSO4,0.48,283.0
C4,ZnSO4,0.06,269.0
D4,Kan,300x,290.0
