Plate,Well,Glucose,Na2HPO4,NaCl,KH2PO4,(NH4)2SO4,MgSO4,CaCl2,FeSO4,MnCl2,ZnSO4,CoCl2,CuSO4,Na2MoO4,Volume,Target
src_plate,1,0,1000,0,0,0,0,0,0,0,0,0,0,0,1000,FALSE
src_plate,2,0,1000,0,0,0,0,0,0,0,0,0,0,0,1000,FALSE
src_plate,3,0,0,0,1000,0,0,0,0,0,0,0,0,0,1000,FALSE
src_plate,4,0,0,0,1000,0,0,0,0,0,0,0,0,0,1000,FALSE
src_plate,5,0,0,1000,0,0,0,0,0,0,0,0,0,0,1000,FALSE
src_plate,6,0,0,1000,0,0,0,0,0,0,0,0,0,0,1000,FALSE
src_plate,7,0,0,1000,0,0,0,0,0,0,0,0,0,0,1000,FALSE
src_plate,8,0,0,0,0,1000,0,0,0,0,0,0,0,0,1000,FALSE
src_plate,9,0,0,0,0,0,0,1000,0,0,0,0,0,0,1000,FALSE
src_plate,10,0,0,0,0,0,0,0,10,0,0,0,0,0,1000,FALSE
src_plate,11,0,0,0,0,0,0,0,0,0,0,500,0,0,1000,FALSE
src_plate,12,0,0,0,0,0,0,0,0,0,0,0,250,0,1000,FALSE
src_plate,13,0,0,0,0,0,1000,0,0,0,0,0,0,0,1000,FALSE
src_plate,14,0,0,0,0,0,0,0,0,1000,0,0,0,0,1000,FALSE
src_plate,15,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,FALSE
src_plate,16,0,0,0,0,0,0,0,0,0,1000,0,0,0,1000,FALSE
src_plate,17,40,0,0,0,0,0,0,0,0,0,0,0,0,1000,FALSE
src_plate,18,40,0,0,0,0,0,0,0,0,0,0,0,0,1000,FALSE
src_plate,19,40,0,0,0,0,0,0,0,0,0,0,0,0,1000,FALSE
src_plate,20,40,0,0,0,0,0,0,0,0,0,0,0,0,1000,FALSE
water_plate,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,FALSE
water_plate,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,FALSE
water_plate,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,FALSE
water_plate,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,FALSE
water_plate,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,FALSE
water_plate,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,FALSE
water_plate,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,FALSE
water_plate,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,FALSE
water_plate,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,FALSE
water_plate,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,FALSE
water_plate,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,FALSE
water_plate,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,FALSE
water_plate,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,FALSE
water_plate,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,FALSE
water_plate,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,FALSE
water_plate,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,FALSE
water_plate,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,FALSE
water_plate,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,FALSE
water_plate,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,FALSE
water_plate,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,FALSE
water_plate,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,FALSE
water_plate,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,FALSE
