srcpos,srcwell,destpos,destwell,vol
water_plate,11,dest_plate,1,180.0
water_plate,11,dest_plate,1,180.0
water_plate,11,dest_plate,1,180.0
water_plate,11,dest_plate,1,180.0
water_plate,11,dest_plate,1,180.0
water_plate,1,dest_plate,1,9.201940168651845
water_plate,12,dest_plate,9,180.0
water_plate,12,dest_plate,9,180.0
water_plate,12,dest_plate,9,180.0
water_plate,12,dest_plate,9,180.0
water_plate,12,dest_plate,9,180.0
water_plate,1,dest_plate,9,9.201940168651845
water_plate,12,dest_plate,17,180.0
water_plate,12,dest_plate,17,180.0
water_plate,12,dest_plate,17,180.0
water_plate,13,dest_plate,17,180.0
water_plate,13,dest_plate,17,180.0
water_plate,2,dest_plate,17,9.201940168651845
water_plate,14,dest_plate,2,180.0
water_plate,14,dest_plate,2,180.0
water_plate,14,dest_plate,2,180.0
water_plate,14,dest_plate,2,180.0
water_plate,14,dest_plate,2,137.42984137264125
water_plate,14,dest_plate,10,180.0
water_plate,14,dest_plate,10,180.0
water_plate,15,dest_plate,10,180.0
water_plate,15,dest_plate,10,180.0
water_plate,14,dest_plate,10,137.42984137264125
water_plate,15,dest_plate,18,180.0
water_plate,15,dest_plate,18,180.0
water_plate,15,dest_plate,18,180.0
water_plate,15,dest_plate,18,180.0
water_plate,15,dest_plate,18,137.42984137264125
water_plate,16,dest_plate,3,180.0
water_plate,17,dest_plate,3,180.0
water_plate,17,dest_plate,3,180.0
water_plate,17,dest_plate,3,180.0
water_plate,17,dest_plate,3,156.10251747934535
water_plate,17,dest_plate,11,180.0
water_plate,17,dest_plate,11,180.0
water_plate,17,dest_plate,11,180.0
water_plate,17,dest_plate,11,180.0
water_plate,18,dest_plate,11,156.10251747934535
water_plate,18,dest_plate,19,180.0
water_plate,18,dest_plate,19,180.0
water_plate,18,dest_plate,19,180.0
water_plate,18,dest_plate,19,180.0
water_plate,18,dest_plate,19,156.10251747934535
water_plate,19,dest_plate,4,180.0
water_plate,20,dest_plate,4,180.0
water_plate,20,dest_plate,4,180.0
water_plate,20,dest_plate,4,180.0
water_plate,16,dest_plate,4,114.63316317547105
water_plate,20,dest_plate,12,180.0
water_plate,20,dest_plate,12,180.0
water_plate,20,dest_plate,12,180.0
water_plate,20,dest_plate,12,180.0
water_plate,17,dest_plate,12,114.63316317547105
water_plate,20,dest_plate,20,180.0
water_plate,21,dest_plate,20,180.0
water_plate,21,dest_plate,20,180.0
water_plate,21,dest_plate,20,180.0
water_plate,18,dest_plate,20,114.63316317547094
water_plate,21,dest_plate,5,180.0
water_plate,22,dest_plate,5,180.0
water_plate,22,dest_plate,5,180.0
water_plate,22,dest_plate,5,180.0
